dir	vel
220.4	10.13
214.8	10.13
214.8	9.57
223.2	10.69
214.8	10.69
220.4	9.57
213.4	10.13
213.4	10.69
210.6	9.57
205	10.69
207.8	9.57
212	9.01
213.4	10.13
212	8.46
212	9.01
214.8	10.13
219	8.46
214.8	10.13
210.6	8.46
214.8	8.46
221.8	7.31
233.1	7.9
213.4	7.9
207.8	7.9
221.8	9.01
219	8.46
219	9.57
213.4	7.31
213.4	6.76
207.8	6.76
206.4	7.31
216.2	5.64
217.6	5.64
216.2	6.76
214.8	7.9
202.2	5.64
210.6	7.31
227.4	7.31
219	6.76
217.6	5.08
231.6	4.5
210.6	4.5
212	4.5
214.8	6.2
209.2	7.9
203.6	6.2
223.2	5.64
207.8	8.46
219	7.9
217.6	6.76
212	7.31
212	6.2
205	6.76
203.6	5.64
203.6	6.76
212	6.76
202.2	6.2
221.8	3.94
205	6.2
223.2	5.08
228.8	4.5
214.8	6.76
213.4	5.08
210.6	5.08
226	5.64
206.4	6.2
202.2	5.64
205	3.94
212	3.38
205	3.94
214.8	4.5
206.4	4.5
230.2	5.08
220.4	4.5
203.6	5.08
207.8	5.08
217.6	5.64
221.8	6.2
214.8	5.64
203.6	5.08
220.4	4.5
210.6	4.5
206.4	5.64
226	5.08
205	3.38
241.5	4.5
224.6	3.94
213.4	5.08
231.6	5.64
195.1	3.94
189.5	3.38
213.4	4.5
209.2	4.5
219	2.82
205	2.82
219	2.82
200.8	4.5
214.8	3.94
230.2	4.5
210.6	4.5
210.6	5.08
206.4	6.2
205	5.64
212	5.64
213.4	4.5
210.6	5.08
205	5.08
210.6	5.64
199.4	4.5
206.4	5.64
193.7	3.94
210.6	2.82
210.6	3.38
206.4	4.5
209.2	5.64
212	5.08
207.8	6.2
199.4	6.76
214.8	6.2
210.6	7.31
220.4	5.08
210.6	5.64
214.8	6.2
189.5	3.94
205	5.08
207.8	3.94
214.8	3.38
202.2	3.94
203.6	5.08
213.4	4.5
207.8	3.38
242.9	3.38
245.7	2.82
227.4	3.38
251.3	3.38
240.1	3.94
241.5	5.08
233.1	3.94
254.1	3.94
242.9	2.82
251.3	3.94
247.1	2.82
237.3	2.82
242.9	2.26
227.4	2.82
192.3	1.7
219	3.38
245.7	2.26
220.4	3.38
219	2.82
217.6	1.7
219	2.26
212	3.94
214.8	2.82
198	3.94
188.1	2.82
216.2	3.94
223.2	4.5
196.5	5.08
210.6	5.64
206.4	6.2
209.2	5.08
202.2	5.08
203.6	5.64
198	5.64
214.8	4.5
216.2	5.64
223.2	5.08
